SRRecordID,ServiceRequesNum,SRType,Agency,Neighborhood,StreetAddress,ZipCode,MethodReceived,SRStatus,CreatedDate,StatusDate,DueDate,LastActivity,Outcome,LastActivityDate,GeoLocation
1094344940,15-00072082,WW Water Leak (Exterior),Bureau of Water and Waste Water,CANTON,1013 S CLINTON ST ,21224,Interface,CLOSED,02/01/2015 08:12:00 AM +0000,02/01/2015 06:23:00 PM +0000,02/03/2015 08:12:00 AM +0000,Cityworks SR Comments,UPDATED,,
1094344982,15-00072083,BCLB-Liquor License Complaint,Liquor License Board,GREEKTOWN,500 S LEHIGH ST ,21224,Interface,CLOSED,02/01/2015 08:48:00 AM +0000,02/18/2015 09:12:00 PM +0000,03/21/2015 07:48:00 AM +0000,Dispatch Investigator,Closed,,
1094345013,15-00072084,WW Hydrant Open,Bureau of Water and Waste Water,MILLHILL,2600  WILKENS AVE ,21223,Phone,HOLDLOCK,02/01/2015 09:13:00 AM +0000,02/01/2015 11:07:00 AM +0000,02/02/2015 09:13:00 AM +0000,Cityworks SR Comments,UPDATED,,
1094345094,15-00072085,TRM-Snow/Icy Conditions,Department of Transportation,MEDFIELD,4496  83  N,21209,Phone,CLOSED,02/01/2015 09:24:00 AM +0000,02/04/2015 10:41:00 PM +0000,02/02/2015 09:24:00 AM +0000,Cityworks SR Comments,UPDATED,,
1094345124,15-00072086,TRM-Snow/Icy Conditions,Department of Transportation,EAST BALTIMORE MIDWAY,732  BARTLETT AVE ,21218,Phone,CLOSED,02/01/2015 09:29:00 AM +0000,02/03/2015 09:09:00 PM +0000,02/02/2015 09:29:00 AM +0000,Cityworks SR Comments,UPDATED,,
1094345153,15-00072087,TRM-Snow/Icy Conditions,Department of Transportation,HARFORD-ECHODALE/PERRING PARKWAY,7308  OLD HARFORD RD ,21234,Interface,DUPCLOSD,02/01/2015 09:30:00 AM +0000,02/04/2015 11:30:00 AM +0000,02/02/2015 09:30:00 AM +0000,NULL,NULL,,
1094345221,15-00072089,TRT-Traffic Signal Repairs,Department of Transportation,MADISON PARK,900  MADISON AVE ,21201,Phone,CLOSED,02/01/2015 09:36:00 AM +0000,02/01/2015 01:03:00 PM +0000,02/02/2015 09:36:00 AM +0000,Work Completed,No Trouble Found,,
1094345314,15-00072090,SW-Dirty Alley,Bureau of Solid Waste,FOUR BY FOUR,3331  RAVENWOOD AVE ,21213,Phone,CLOSED,02/01/2015 11:20:00 AM +0000,02/04/2015 01:25:00 AM +0000,02/08/2015 11:20:00 AM +0000,Dispatch Work Crew,Cleaned and removed debris (Close),,
1094345372,15-00072091,ECC-Miscellaneous Request,Mayors Office of Information Technology,HOLLINS MARKET,1100 W LOMBARD ST ,21223,Interface,CLOSED,02/01/2015 11:50:00 AM +0000,02/01/2015 05:31:00 PM +0000,02/06/2015 11:50:00 AM +0000,Abate,Police issues must be called in.,,
1094345398,15-00072092,BGE-StLight(s) Out Rear,Department of Transportation,BELAIR-EDISON,3434  BELAIR RD ,21213,Interface,CLOSED,02/01/2015 12:07:00 PM +0000,02/02/2015 07:39:00 AM +0000,02/05/2015 12:07:00 PM +0000,NULL,NULL,,
